Date	Query	IsImplicitIntent	State	Country	PopularityScore
2020-07-01	coronavirus	False	Veracruz	Mexico	16
2020-07-01	conacyt	True	Veracruz	Mexico	1
2020-07-01	nationwide building society	True	West Yorkshire	United Kingdom	9
2020-07-01	put in bay coronavirus	False	Ohio	United States	1
2020-07-01	climss iniciar sesión	True	Veracruz	Mexico	24
2020-07-01	climss	True	Veracruz	Mexico	77
2020-07-01	dr fauci	True	Nevada	United States	1
2020-07-01	österreich coronavirus	False	Bavaria	Germany	1
2020-07-01	zdf heute	True	Bavaria	Germany	2
2020-07-01	worldometers	True	Bavaria	Germany	4
2020-07-01	worldometer coronavirus	False	Bavaria	Germany	1
2020-07-01	worldometer	True	Bavaria	Germany	3
2020-07-01	webasto	True	Bavaria	Germany	1
2020-07-01	usa coronavirus	False	Bavaria	Germany	2
2020-07-01	tüv	True	Bavaria	Germany	2
2020-07-01	türkei news	True	Bavaria	Germany	1
2020-07-01	tönnies	True	Bavaria	Germany	7
2020-07-01	tui fly	True	Bavaria	Germany	1
2020-07-01	tui cruises	True	Bavaria	Germany	2
2020-07-01	tui	True	Bavaria	Germany	17
2020-07-01	timmendorfer strand	True	Bavaria	Germany	1
2020-07-01	tagesschau	True	Bavaria	Germany	100
2020-07-01	tag24 chemnitz	True	Bavaria	Germany	1
2020-07-01	nhs discounts	True	West Yorkshire	United Kingdom	6
2020-07-01	tui holidays	True	Derby City	United Kingdom	10
2020-07-01	symptome coronavirus	False	Bavaria	Germany	2
2020-07-01	sylt	True	Bavaria	Germany	2
2020-07-01	drudge report 2020	True	Nevada	United States	2
2020-07-01	sunexpress	True	Bavaria	Germany	2
2020-07-01	schauinsland-reisen	True	Bavaria	Germany	1
2020-07-01	robert koch institut coronavirus	False	Bavaria	Germany	5
2020-07-01	rki risikogebiete	True	Bavaria	Germany	12
2020-07-01	rki fallzahlen	True	Bavaria	Germany	10
2020-07-01	rki dashboard	True	Bavaria	Germany	24
2020-07-01	rki coronavirus fallzahlen	False	Bavaria	Germany	9
2020-07-01	rki coronavirus	False	Bavaria	Germany	26
2020-07-01	rki	True	Bavaria	Germany	75
2020-07-01	risikogebiete rki	True	Bavaria	Germany	2
2020-07-01	reproduktionszahl	True	Bavaria	Germany	1
2020-07-01	reisewarnungen auswärtiges amt	True	Bavaria	Germany	5
2020-07-01	radio gütersloh	True	Bavaria	Germany	1
2020-07-01	pressekonferenz söder	True	Bavaria	Germany	1
2020-07-01	pneumokokken impfung	True	Bavaria	Germany	1
2020-07-01	phoenix reisen	True	Bavaria	Germany	1
2020-07-01	nhs employers	True	West Yorkshire	United Kingdom	3
2020-07-01	srhd.org	True	Washington	United States	1
2020-07-01	pcr test	True	Bavaria	Germany	1
